name,USL,USR,DSL,DSR
GMN-BL03-SBS-22-5_tracks_correctors-zeroed_coil-update_lgv2_E-400_new,0,0,0,0
GMN-BL03-SBS-22-5_tracks_correctors-1000_drives-1_coil-update_lgv2_E-400_new,0,0,0,0
