name,USL,USR,DSL,DSR
GMN-BL03-SBS-22-5_final_correctors-zeroed_coil-update_lgv2_new,0,0,0,0
GMN-BL03-SBS-22-5_final_correctors-1000_drives-1_coil-update_lgv2_new,0,0,0,0
GMN-BL03-SBS-22-5_final_correctors-1000_drives-1_1890_coil-update_lgv2_new,0,0,0,0
