USL,USR,DSL,DSR,xInt,yInt
-80,-40,140,0,-643.4,-402.1
-80,-40,141,0,-350.2,144.5
-80,-40,142,0,617.8,-63.1
-80,-40,146,0,587.4,1242.1
-80,-40,150,0,457.0,-180.5
-80,-40,150.6,0,161.1,143.6
